CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0000000000000000AA;18/12/2015;18;0,196;R
ES0000000000000000AA;18/12/2015;19;0,201;R
ES0000000000000000AA;18/12/2015;20;0,206;R
ES0000000000000000AA;18/12/2015;21;0,199;R
ES0000000000000000AA;18/12/2015;22;0,198;R
ES0000000000000000AA;18/12/2015;23;0,256;R
ES0000000000000000AA;18/12/2015;24;0,191;R
ES0000000000000000AA;19/12/2015;1;0,189;R
ES0000000000000000AA;19/12/2015;2;0,188;R
ES0000000000000000AA;19/12/2015;3;0,135;R
ES0000000000000000AA;19/12/2015;4;0,136;R
ES0000000000000000AA;19/12/2015;5;0,137;R
ES0000000000000000AA;19/12/2015;6;0,14;R
ES0000000000000000AA;19/12/2015;7;0,135;R
ES0000000000000000AA;19/12/2015;8;0,135;R
ES0000000000000000AA;19/12/2015;9;0,169;R
ES0000000000000000AA;19/12/2015;10;0,203;R
ES0000000000000000AA;19/12/2015;11;0,19;R
ES0000000000000000AA;19/12/2015;12;0,208;R
ES0000000000000000AA;19/12/2015;13;0,147;R
ES0000000000000000AA;19/12/2015;14;0,141;R
ES0000000000000000AA;19/12/2015;15;0,16;R
ES0000000000000000AA;19/12/2015;16;0,216;R
ES0000000000000000AA;19/12/2015;17;0,198;R
ES0000000000000000AA;19/12/2015;18;0,188;R
ES0000000000000000AA;19/12/2015;19;0,224;R
ES0000000000000000AA;19/12/2015;20;0,202;R
ES0000000000000000AA;19/12/2015;21;0,222;R
ES0000000000000000AA;19/12/2015;22;0,255;R
ES0000000000000000AA;19/12/2015;23;0,204;R
ES0000000000000000AA;19/12/2015;24;0,207;R
ES0000000000000000AA;20/12/2015;1;0,196;R
ES0000000000000000AA;20/12/2015;2;0,185;R
ES0000000000000000AA;20/12/2015;3;0,131;R
ES0000000000000000AA;20/12/2015;4;0,128;R
ES0000000000000000AA;20/12/2015;5;0,132;R
ES0000000000000000AA;20/12/2015;6;0,137;R
ES0000000000000000AA;20/12/2015;7;0,212;R
ES0000000000000000AA;20/12/2015;8;0,211;R
ES0000000000000000AA;20/12/2015;9;0,139;R
ES0000000000000000AA;20/12/2015;10;0,217;R
ES0000000000000000AA;20/12/2015;11;0,173;R
ES0000000000000000AA;20/12/2015;12;0,296;R
ES0000000000000000AA;20/12/2015;13;0,236;R
ES0000000000000000AA;20/12/2015;14;0,255;R
ES0000000000000000AA;20/12/2015;15;0,281;R
ES0000000000000000AA;20/12/2015;16;0,312;R
ES0000000000000000AA;20/12/2015;17;0,431;R
ES0000000000000000AA;20/12/2015;18;0,338;R
ES0000000000000000AA;20/12/2015;19;0,342;R
ES0000000000000000AA;20/12/2015;20;0,351;R
ES0000000000000000AA;20/12/2015;21;0,311;R
ES0000000000000000AA;20/12/2015;22;0,312;R
ES0000000000000000AA;20/12/2015;23;0,31;R
ES0000000000000000AA;20/12/2015;24;0,272;R
ES0000000000000000AA;21/12/2015;1;0,194;R
ES0000000000000000AA;21/12/2015;2;0,141;R
ES0000000000000000AA;21/12/2015;3;0,136;R
ES0000000000000000AA;21/12/2015;4;0,14;R
ES0000000000000000AA;21/12/2015;5;0,138;R
ES0000000000000000AA;21/12/2015;6;0,138;R
ES0000000000000000AA;21/12/2015;7;0,137;R
ES0000000000000000AA;21/12/2015;8;0,202;R
ES0000000000000000AA;21/12/2015;9;0,278;R
ES0000000000000000AA;21/12/2015;10;0,334;R
ES0000000000000000AA;21/12/2015;11;0,295;R
ES0000000000000000AA;21/12/2015;12;0,295;R
ES0000000000000000AA;21/12/2015;13;0,291;R
ES0000000000000000AA;21/12/2015;14;0,243;R
ES0000000000000000AA;21/12/2015;15;0,183;R
ES0000000000000000AA;21/12/2015;16;0,256;R
ES0000000000000000AA;21/12/2015;17;0,192;R
ES0000000000000000AA;21/12/2015;18;0,191;R
ES0000000000000000AA;21/12/2015;19;0,194;R
ES0000000000000000AA;21/12/2015;20;0,194;R
ES0000000000000000AA;21/12/2015;21;0,749;R
ES0000000000000000AA;21/12/2015;22;0,187;R
ES0000000000000000AA;21/12/2015;23;0,186;R
ES0000000000000000AA;21/12/2015;24;0,183;R
ES0000000000000000AA;22/12/2015;1;0,191;R
