Fecha;Hora;Gi;Ta;PFV
2015-1-28;23;0;8,8;0,00
2015-1-28;24;0;8,4;0,00
2015-1-29;1;0;8,1;0,00
2015-1-29;2;0;7,7;0,00
2015-1-29;3;0;7,4;0,00
2015-1-29;4;0;7;0,00
2015-1-29;5;0;6,7;0,00
2015-1-29;6;0;6,3;0,00
2015-1-29;7;0;6;0,00
2015-1-29;8;0;5,6;0,00
2015-1-29;9;265;8,3;59,18
2015-1-29;10;491;10,1;104,68
2015-1-29;11;752;12,1;151,59
2015-1-29;12;838;13,5;165,05
2015-1-29;13;623;14,1;127,16
2015-1-29;14;759;14,6;150,77
2015-1-29;15;644;14,6;130,61
2015-1-29;16;575;14,3;118,24
2015-1-29;17;226;13;49,65
2015-1-29;18;0;12,6;0,00
2015-1-29;19;0;12,2;0,00
2015-1-29;20;0;11,7;0,00
2015-1-29;21;0;11,3;0,00
2015-1-29;22;0;10,9;0,00
2015-1-29;23;0;10,4;0,00
2015-1-29;24;0;10;0,00
2015-1-30;1;0;9,7;0,00
2015-1-30;2;0;9,3;0,00
2015-1-30;3;0;8,9;0,00
2015-1-30;4;0;8,6;0,00
2015-1-30;5;0;8,2;0,00
2015-1-30;6;0;7,8;0,00
2015-1-30;7;0;7,4;0,00
2015-1-30;8;0;7,1;0,00
2015-1-30;9;108;8,9;24,67
2015-1-30;10;245;10,3;54,37
2015-1-30;11;473;11,9;100,24
2015-1-30;12;630;13,2;129,04
2015-1-30;13;708;14,2;142,25
2015-1-30;14;569;14,7;116,89
2015-1-30;15;579;14,8;118,67
2015-1-30;16;462;14,5;96,80
2015-1-30;17;186;13,4;41,05
2015-1-30;18;0;13,1;0,00
2015-1-30;19;0;12,8;0,00
2015-1-30;20;0;12,5;0,00
2015-1-30;21;0;12,1;0,00
2015-1-30;22;0;11,8;0,00
2015-1-30;23;0;11,5;0,00
2015-1-30;24;0;11,2;0,00
2015-1-31;1;0;10,9;0,00
2015-1-31;2;0;10,7;0,00
2015-1-31;3;0;10,5;0,00
2015-1-31;4;0;10,3;0,00
2015-1-31;5;0;10;0,00
2015-1-31;6;0;9,8;0,00
2015-1-31;7;0;9,6;0,00
2015-1-31;8;0;9,4;0,00
2015-1-31;9;226;11,9;49,92
2015-1-31;10;566;14;116,76
2015-1-31;11;733;15,7;145,43
2015-1-31;12;873;17,1;167,46
2015-1-31;13;918;18,2;173,51
2015-1-31;14;890;18,7;168,64
2015-1-31;15;776;18,9;150,08
2015-1-31;16;616;18,5;122,98
2015-1-31;17;323;17,4;68,30
